,legalguilt,question,rate_punishment,rating,scenario,start,stop,subjguilt,uid
0,false,0,0.0,0,11,2019-10-02 20:33:27,2019-10-02 20:34:02,false,A3F0NFNLOLFJT0
1,true,0,88.0,94,23,2019-10-03 00:32:29,2019-10-03 00:34:10,true,AARRC49LFF1O
2,true,1,88.0,95,30,2019-10-03 00:32:29,2019-10-03 00:34:32,true,AARRC49LFF1O
3,false,1,45.0,17,24,2019-10-02 20:33:27,2019-10-02 20:34:36,false,A3F0NFNLOLFJT0
4,true,2,28.0,100,12,2019-10-02 20:34:48,2019-10-02 20:35:08,true,A3F0NFNLOLFJT0
5,false,0,80.0,65,8,2019-10-02 20:35:29,2019-10-02 20:35:36,false,A3SD02HCW68EUL
6,false,1,76.0,61,27,2019-10-02 20:35:29,2019-10-02 20:35:41,false,A3SD02HCW68EUL
7,true,3,15.0,81,14,2019-10-02 20:34:48,2019-10-02 20:35:52,true,A3F0NFNLOLFJT0
8,false,2,79.0,60,5,2019-10-02 20:35:47,2019-10-02 20:35:53,false,A3SD02HCW68EUL
9,true,3,77.0,68,25,2019-10-02 20:35:47,2019-10-02 20:36:00,true,A3SD02HCW68EUL
10,true,4,59.0,72,1,2019-10-02 20:35:47,2019-10-02 20:36:07,true,A3SD02HCW68EUL
11,true,5,78.0,71,29,2019-10-02 20:35:47,2019-10-02 20:36:12,true,A3SD02HCW68EUL
12,true,6,69.0,59,26,2019-10-02 20:35:47,2019-10-02 20:36:20,true,A3SD02HCW68EUL
13,false,2,62.0,48,11,2019-10-03 00:35:19,2019-10-03 00:36:42,true,AARRC49LFF1O
14,true,4,100.0,100,31,2019-10-02 20:34:48,2019-10-02 20:36:50,true,A3F0NFNLOLFJT0
15,true,3,78.0,90,17,2019-10-03 00:35:19,2019-10-03 00:37:03,true,AARRC49LFF1O
16,true,5,100.0,100,30,2019-10-02 20:34:48,2019-10-02 20:37:28,true,A3F0NFNLOLFJT0
17,false,4,60.0,70,24,2019-10-03 00:35:19,2019-10-03 00:37:36,true,AARRC49LFF1O
18,false,6,100.0,23,16,2019-10-02 20:34:48,2019-10-02 20:38:11,false,A3F0NFNLOLFJT0
19,true,5,53.0,47,3,2019-10-03 00:35:19,2019-10-03 00:38:21,true,AARRC49LFF1O
20,true,6,83.0,90,28,2019-10-03 00:35:19,2019-10-03 00:38:42,true,AARRC49LFF1O
21,false,7,100.0,0,27,2019-10-02 20:38:23,2019-10-02 20:38:59,false,A3F0NFNLOLFJT0
