,correct,scenario,type,uid
0,0.0,30.0,crime,AARRC49LFF1O
1,1.0,28.0,crime,AARRC49LFF1O
2,1.0,18.0,evidence,AARRC49LFF1O
3,1.0,2.0,crime,AARRC49LFF1O
4,0.0,4.0,evidence,AARRC49LFF1O
5,1.0,10.0,evidence,AARRC49LFF1O
6,1.0,24.0,evidence,A3F0NFNLOLFJT0
7,1.0,16.0,evidence,A3F0NFNLOLFJT0
8,1.0,6.0,crime,A3F0NFNLOLFJT0
9,0.0,27.0,crime,A3SD02HCW68EUL
10,0.0,26.0,evidence,A3SD02HCW68EUL
11,0.0,2.0,crime,A3JLE2LJ5I17E2
12,0.0,15.0,evidence,A3JLE2LJ5I17E2
13,0.0,10.0,crime,A3JLE2LJ5I17E2
14,1.0,16.0,evidence,A27OFZ8AKEIQ0K
15,1.0,22.0,crime,A27OFZ8AKEIQ0K
16,1.0,7.0,crime,A27OFZ8AKEIQ0K
17,1.0,4.0,evidence,A27OFZ8AKEIQ0K
18,1.0,21.0,crime,A27OFZ8AKEIQ0K
19,1.0,28.0,evidence,A2YGOORS5N9RW8
20,1.0,29.0,evidence,A2YGOORS5N9RW8
21,1.0,30.0,crime,A2YGOORS5N9RW8
22,1.0,24.0,evidence,A2YGOORS5N9RW8
23,1.0,7.0,crime,A2YGOORS5N9RW8
24,1.0,5.0,crime,A2YGOORS5N9RW8
25,1.0,22.0,evidence,AH00EJ6PK1H3A
26,1.0,27.0,crime,AH00EJ6PK1H3A
27,1.0,13.0,evidence,AH00EJ6PK1H3A
28,1.0,20.0,evidence,AH00EJ6PK1H3A
29,1.0,8.0,crime,AH00EJ6PK1H3A
30,1.0,2.0,crime,AH00EJ6PK1H3A
31,0.0,8.0,evidence,A2XZU2LON0FYDQ
32,0.0,4.0,evidence,A2XZU2LON0FYDQ
33,0.0,13.0,evidence,A2XZU2LON0FYDQ
34,1.0,5.0,evidence,A2UTDZAZV1DF0N
35,1.0,24.0,evidence,A2UTDZAZV1DF0N
36,1.0,14.0,crime,A2UTDZAZV1DF0N
37,1.0,11.0,crime,A2UTDZAZV1DF0N
38,1.0,31.0,crime,A2NA2OJT15COZY
39,1.0,23.0,evidence,A2NA2OJT15COZY
40,1.0,13.0,evidence,A2NA2OJT15COZY
41,1.0,4.0,crime,A2NA2OJT15COZY
42,1.0,21.0,crime,A2NA2OJT15COZY
43,1.0,3.0,evidence,A2NA2OJT15COZY
44,1.0,29.0,evidence,AIUOH9YE27PQ2
45,1.0,23.0,crime,AIUOH9YE27PQ2
46,1.0,20.0,crime,AIUOH9YE27PQ2
47,0.0,24.0,evidence,AIUOH9YE27PQ2
48,1.0,28.0,crime,AIUOH9YE27PQ2
49,1.0,11.0,evidence,AIUOH9YE27PQ2
50,1.0,2.0,evidence,A3HSONMX6LNZR4
51,1.0,1.0,crime,A3HSONMX6LNZR4
52,1.0,22.0,crime,A3HSONMX6LNZR4
53,1.0,28.0,crime,A3HSONMX6LNZR4
54,0.0,11.0,evidence,A3HSONMX6LNZR4
55,0.0,15.0,evidence,A3HSONMX6LNZR4
56,1.0,14.0,crime,A8KX1HFH8NE2Q
57,1.0,4.0,evidence,A8KX1HFH8NE2Q
58,1.0,23.0,evidence,A3OPXWTBJZ37M8
59,1.0,12.0,evidence,A3OPXWTBJZ37M8
60,1.0,28.0,crime,A3OPXWTBJZ37M8
61,1.0,4.0,crime,A3OPXWTBJZ37M8
62,1.0,6.0,crime,A3OPXWTBJZ37M8
63,1.0,17.0,evidence,A3OPXWTBJZ37M8
64,1.0,26.0,crime,ABNJUVNHFVINU
65,1.0,3.0,crime,ABNJUVNHFVINU
66,1.0,6.0,evidence,ABNJUVNHFVINU
67,1.0,10.0,evidence,ABNJUVNHFVINU
68,1.0,4.0,evidence,ABNJUVNHFVINU
69,1.0,8.0,crime,ABNJUVNHFVINU
70,1.0,10.0,crime,A1VVR9MA1P9HWJ
71,1.0,29.0,evidence,A1VVR9MA1P9HWJ
72,1.0,30.0,crime,A1VVR9MA1P9HWJ
73,0.0,13.0,evidence,A1VVR9MA1P9HWJ
74,1.0,12.0,evidence,A1VVR9MA1P9HWJ
75,1.0,3.0,crime,A1VVR9MA1P9HWJ
76,1.0,24.0,crime,A2Y0WNHMT4PZ4C
77,1.0,23.0,evidence,A2Y0WNHMT4PZ4C
78,1.0,5.0,evidence,A2Y0WNHMT4PZ4C
79,1.0,15.0,crime,A2Y0WNHMT4PZ4C
80,1.0,6.0,crime,A1VVXZYA3TPHP0
81,1.0,12.0,crime,A1VVXZYA3TPHP0
82,1.0,27.0,evidence,A1VVXZYA3TPHP0
83,0.0,15.0,evidence,A1VVXZYA3TPHP0
84,1.0,31.0,evidence,A1SHLWKA0UH1IS
85,1.0,18.0,evidence,A1SHLWKA0UH1IS
86,1.0,12.0,crime,A1SHLWKA0UH1IS
87,1.0,21.0,crime,A1SHLWKA0UH1IS
88,1.0,30.0,evidence,A1SHLWKA0UH1IS
89,1.0,17.0,crime,A1SHLWKA0UH1IS
90,1.0,9.0,crime,AX82BZBEUJUBU
91,1.0,14.0,evidence,AX82BZBEUJUBU
92,1.0,17.0,evidence,AX82BZBEUJUBU
93,1.0,25.0,crime,AX82BZBEUJUBU
94,1.0,18.0,crime,AX82BZBEUJUBU
95,1.0,1.0,evidence,AX82BZBEUJUBU
96,1.0,28.0,crime,A3CH1Z6J9R38G9
97,1.0,18.0,evidence,A3CH1Z6J9R38G9
98,1.0,23.0,evidence,A3CH1Z6J9R38G9
99,1.0,22.0,evidence,A3CH1Z6J9R38G9
100,1.0,15.0,crime,A3CH1Z6J9R38G9
101,1.0,21.0,crime,A3CH1Z6J9R38G9
102,1.0,28.0,evidence,A1QC1K71RGKZBI
103,1.0,23.0,crime,A1QC1K71RGKZBI
104,1.0,7.0,crime,A1QC1K71RGKZBI
105,1.0,4.0,evidence,A1QC1K71RGKZBI
106,1.0,14.0,evidence,A1QC1K71RGKZBI
107,1.0,30.0,crime,A1QC1K71RGKZBI
108,0.0,2.0,evidence,A3BZVFD82AVLT8
109,1.0,1.0,evidence,A3TKB1M7O6PXBA
110,1.0,6.0,crime,A3TKB1M7O6PXBA
111,1.0,22.0,crime,A3TKB1M7O6PXBA
112,1.0,5.0,evidence,A3TKB1M7O6PXBA
113,1.0,30.0,crime,A3TKB1M7O6PXBA
114,1.0,10.0,evidence,A3TKB1M7O6PXBA
115,1.0,28.0,evidence,A3IMB1JAMHP1KK
116,1.0,12.0,evidence,A3IMB1JAMHP1KK
117,1.0,26.0,crime,A3IMB1JAMHP1KK
118,1.0,16.0,evidence,A3IMB1JAMHP1KK
119,1.0,9.0,crime,A3IMB1JAMHP1KK
120,1.0,1.0,crime,A3IMB1JAMHP1KK
121,1.0,26.0,crime,AOOLS8280CL0Z
122,1.0,11.0,evidence,AOOLS8280CL0Z
123,1.0,19.0,crime,AOOLS8280CL0Z
124,1.0,24.0,evidence,AOOLS8280CL0Z
125,1.0,20.0,evidence,AOOLS8280CL0Z
126,1.0,4.0,crime,AOOLS8280CL0Z
