,task,task_complete,uid,num_catch,num_correct,scenario,start
0,exculpatory_burdenofproof,1.0,AARRC49LFF1O,6.0,4.0,31.0,2019-10-03 00:32:29
1,exculpatory_burdenofproof,0.0,A3F0NFNLOLFJT0,3.0,3.0,14.0,2019-10-02 20:33:27
2,exculpatory_burdenofproof,0.0,A3SD02HCW68EUL,2.0,0.0,7.0,2019-10-02 20:35:29
3,exculpatory_burdenofproof,0.0,A3JLE2LJ5I17E2,3.0,0.0,11.0,2019-10-02 20:41:17
4,exculpatory_burdenofproof,0.0,A27OFZ8AKEIQ0K,5.0,5.0,22.0,2019-10-02 20:48:56
5,exculpatory_burdenofproof,1.0,A2YGOORS5N9RW8,6.0,6.0,31.0,2019-10-02 21:05:30
6,exculpatory_burdenofproof,1.0,AH00EJ6PK1H3A,6.0,6.0,31.0,2019-10-02 21:20:45
7,exculpatory_burdenofproof,0.0,A2XZU2LON0FYDQ,3.0,0.0,11.0,2019-10-02 21:53:32
8,exculpatory_burdenofproof,0.0,A2UTDZAZV1DF0N,4.0,4.0,17.0,2019-10-02 22:02:00
9,exculpatory_burdenofproof,1.0,A2NA2OJT15COZY,6.0,6.0,31.0,2019-10-02 22:16:23
10,exculpatory_burdenofproof,1.0,AIUOH9YE27PQ2,6.0,5.0,31.0,2019-10-02 22:38:02
11,exculpatory_burdenofproof,1.0,A3HSONMX6LNZR4,6.0,4.0,31.0,2019-10-02 22:47:27
12,exculpatory_burdenofproof,0.0,A1KHRQ121JTDF6,,,1.0,2019-10-03 00:04:57
13,exculpatory_burdenofproof,0.0,A8KX1HFH8NE2Q,2.0,2.0,7.0,2019-10-03 01:25:18
14,exculpatory_burdenofproof,0.0,A10SG5T0Y9TISG,,,2.0,2019-10-03 01:35:22
15,exculpatory_burdenofproof,1.0,A3OPXWTBJZ37M8,6.0,6.0,31.0,2019-10-03 04:03:06
16,exculpatory_burdenofproof,1.0,ABNJUVNHFVINU,6.0,6.0,31.0,2019-10-03 23:02:41
17,exculpatory_burdenofproof,1.0,A1VVR9MA1P9HWJ,6.0,5.0,31.0,2019-10-03 23:05:36
18,exculpatory_burdenofproof,0.0,A2Y0WNHMT4PZ4C,4.0,4.0,17.0,2019-10-03 23:07:26
19,exculpatory_burdenofproof,0.0,A1VVXZYA3TPHP0,4.0,3.0,17.0,2019-10-03 23:16:55
20,exculpatory_burdenofproof,1.0,A1SHLWKA0UH1IS,6.0,6.0,31.0,2019-10-03 23:23:23
21,exculpatory_burdenofproof,1.0,AX82BZBEUJUBU,6.0,6.0,31.0,2019-10-04 00:00:52
22,exculpatory_burdenofproof,0.0,A3CH1Z6J9R38G9,6.0,6.0,28.0,2019-10-04 00:03:44
23,exculpatory_burdenofproof,0.0,A1QC1K71RGKZBI,6.0,6.0,28.0,2019-10-04 00:14:41
24,exculpatory_burdenofproof,0.0,A3BZVFD82AVLT8,1.0,0.0,2.0,2019-10-04 00:31:25
25,exculpatory_burdenofproof,1.0,A3TKB1M7O6PXBA,6.0,6.0,31.0,2019-10-04 00:39:53
26,exculpatory_burdenofproof,0.0,AV74R07MDJ2VL,,,1.0,2019-10-04 01:05:41
27,exculpatory_burdenofproof,1.0,A3IMB1JAMHP1KK,6.0,6.0,31.0,2019-10-04 01:11:10
28,exculpatory_burdenofproof,1.0,AOOLS8280CL0Z,6.0,6.0,31.0,2019-10-04 01:28:33
29,exculpatory_burdenofproof,1.0,A2IP3ZAFYGV8M9,6.0,6.0,31.0,2019-10-04 02:44:07
30,exculpatory_burdenofproof,1.0,A2APG8MSLJ6G2K,6.0,6.0,31.0,2019-10-07 18:01:56
31,exculpatory_burdenofproof,1.0,AOS2PVHT2HYTL,6.0,5.0,31.0,2019-10-07 18:19:13
32,exculpatory_burdenofproof,1.0,A1JJYY622DGE5L,6.0,6.0,31.0,2019-10-07 18:47:36
33,exculpatory_burdenofproof,1.0,A3D2GO0IFRFN6R,6.0,6.0,31.0,2019-10-07 19:12:13
34,exculpatory_burdenofproof,1.0,A2KE8L6S2ADRNR,6.0,5.0,31.0,2019-10-07 19:16:07
35,exculpatory_burdenofproof,1.0,A36O6HV8LCXLJR,6.0,6.0,31.0,2019-10-07 19:18:39
36,exculpatory_burdenofproof,0.0,AMTT7HOXYF3C5,,,2.0,2019-10-07 19:56:03
37,exculpatory_burdenofproof,0.0,A2HSCKH5NKN5LP,,,,
38,exculpatory_burdenofproof,0.0,A2RHE12CJSKCRE,2.0,2.0,10.0,2019-10-07 20:15:23
39,exculpatory_burdenofproof,0.0,A3KSTM9CTESTVU,5.0,2.0,22.0,2019-10-08 03:29:20
40,exculpatory_burdenofproof,0.0,a1vl7507uonpx0,5.0,5.0,26.0,2019-10-07 20:34:55
41,exculpatory_burdenofproof,1.0,A2J9U65SKT4TJW,6.0,5.0,31.0,2019-10-07 20:46:43
42,exculpatory_burdenofproof,1.0,A3IPVESY1MUTW1,6.0,6.0,31.0,2019-10-07 21:26:11
43,exculpatory_burdenofproof,1.0,A1BIJGB7XA0GME,6.0,6.0,31.0,2019-10-07 22:11:48
44,exculpatory_burdenofproof,0.0,testtesttest,1.0,0.0,2.0,2019-10-16 01:48:13
45,exculpatory_burdenofproof,0.0,A3UITPDQ969UTD,2.0,0.0,7.0,2019-10-16 01:54:01
46,exculpatory_burdenofproof,1.0,A3KP8KFGG6734Q,6.0,5.0,31.0,2019-10-16 01:55:43
47,exculpatory_burdenofproof,0.0,A250FES5PFCGK9,4.0,3.0,17.0,2019-10-16 02:07:44
48,exculpatory_burdenofproof,1.0,A2R8IV2PWFTY00,6.0,6.0,31.0,2019-10-16 02:10:51
49,exculpatory_burdenofproof,1.0,A2GOYSTIL3LOV1,6.0,6.0,31.0,2019-10-16 02:26:37
50,exculpatory_burdenofproof,0.0,A1BM57TUNAQIXM,5.0,4.0,25.0,2019-10-16 03:18:18
51,exculpatory_burdenofproof,0.0,A2V68VOW02OWI1,3.0,0.0,9.0,2019-10-16 03:21:06
