,bardguilt,mltnguilt,question,rating,scenario,start,stop,subjguilt,uid
0,false,,0,7,4.0,2020-12-07 21:29:25,2020-12-07 21:29:37,,sethtest
1,false,,1,16,13.0,2020-12-07 21:29:25,2020-12-07 21:29:41,,sethtest
2,false,,0,1,4.0,2020-12-07 23:00:23,2020-12-07 23:00:48,,A2W3Q8OCO18HEN
3,true,,1,100,18.0,2020-12-07 23:00:23,2020-12-07 23:01:34,,A2W3Q8OCO18HEN
4,true,,2,99,9.0,2020-12-07 23:01:41,2020-12-07 23:06:00,,A2W3Q8OCO18HEN
5,true,,3,77,12.0,2020-12-07 23:01:41,2020-12-07 23:06:25,,A2W3Q8OCO18HEN
6,true,,0,63,27.0,2020-12-07 23:07:12,2020-12-07 23:07:23,,A3CAHROA74QYIE
7,false,,1,73,9.0,2020-12-07 23:07:12,2020-12-07 23:07:33,,A3CAHROA74QYIE
8,true,,2,73,26.0,2020-12-07 23:07:48,2020-12-07 23:08:08,,A3CAHROA74QYIE
9,true,,3,66,24.0,2020-12-07 23:07:48,2020-12-07 23:08:18,,A3CAHROA74QYIE
10,true,,4,75,7.0,2020-12-07 23:07:48,2020-12-07 23:08:59,,A3CAHROA74QYIE
11,true,,5,70,10.0,2020-12-07 23:07:48,2020-12-07 23:09:09,,A3CAHROA74QYIE
12,true,,6,71,16.0,2020-12-07 23:07:48,2020-12-07 23:09:48,,A3CAHROA74QYIE
13,true,,7,73,21.0,2020-12-07 23:09:59,2020-12-07 23:10:16,,A3CAHROA74QYIE
14,true,,8,72,2.0,2020-12-07 23:09:59,2020-12-07 23:10:34,,A3CAHROA74QYIE
15,true,,9,70,23.0,2020-12-07 23:09:59,2020-12-07 23:10:52,,A3CAHROA74QYIE
16,true,,10,71,5.0,2020-12-07 23:09:59,2020-12-07 23:11:36,,A3CAHROA74QYIE
17,true,true,0,70,6.0,2020-12-07 23:12:50,2020-12-07 23:13:02,true,A1LLS4RSDRN8JS
18,true,true,1,86,24.0,2020-12-07 23:12:50,2020-12-07 23:13:13,true,A1LLS4RSDRN8JS
19,true,true,2,80,21.0,2020-12-07 23:13:22,2020-12-07 23:13:35,true,A1LLS4RSDRN8JS
20,true,true,3,84,15.0,2020-12-07 23:13:22,2020-12-07 23:13:45,true,A1LLS4RSDRN8JS
21,true,true,4,87,28.0,2020-12-07 23:13:22,2020-12-07 23:13:54,true,A1LLS4RSDRN8JS
22,true,true,5,87,3.0,2020-12-07 23:13:22,2020-12-07 23:14:03,true,A1LLS4RSDRN8JS
23,true,true,6,78,14.0,2020-12-07 23:13:22,2020-12-07 23:14:17,true,A1LLS4RSDRN8JS
24,true,true,7,74,8.0,2020-12-07 23:14:31,2020-12-07 23:15:06,true,A1LLS4RSDRN8JS
25,true,true,8,84,22.0,2020-12-07 23:14:31,2020-12-07 23:15:14,true,A1LLS4RSDRN8JS
26,true,true,9,88,30.0,2020-12-07 23:14:31,2020-12-07 23:15:25,true,A1LLS4RSDRN8JS
27,true,true,10,87,27.0,2020-12-07 23:14:31,2020-12-07 23:15:35,true,A1LLS4RSDRN8JS
28,true,,0,59,12.0,2020-12-07 23:18:01,2020-12-07 23:18:22,,A3QJKATIZJ9NV2
29,true,,1,58,6.0,2020-12-07 23:18:01,2020-12-07 23:18:38,,A3QJKATIZJ9NV2
30,true,,2,61,26.0,2020-12-07 23:19:20,2020-12-07 23:19:33,,A3QJKATIZJ9NV2
31,true,,3,59,20.0,2020-12-07 23:19:20,2020-12-07 23:19:44,,A3QJKATIZJ9NV2
32,true,,4,69,18.0,2020-12-07 23:19:20,2020-12-07 23:19:54,,A3QJKATIZJ9NV2
33,true,,5,69,3.0,2020-12-07 23:19:20,2020-12-07 23:20:12,,A3QJKATIZJ9NV2
34,true,,6,77,21.0,2020-12-07 23:19:20,2020-12-07 23:20:23,,A3QJKATIZJ9NV2
35,true,,7,72,15.0,2020-12-07 23:20:42,2020-12-07 23:20:58,,A3QJKATIZJ9NV2
36,true,,8,82,9.0,2020-12-07 23:20:42,2020-12-07 23:21:08,,A3QJKATIZJ9NV2
37,true,,9,80,31.0,2020-12-07 23:20:42,2020-12-07 23:21:17,,A3QJKATIZJ9NV2
38,true,,10,77,22.0,2020-12-07 23:20:42,2020-12-07 23:21:30,,A3QJKATIZJ9NV2
39,true,,11,74,23.0,2020-12-07 23:21:53,2020-12-07 23:22:08,,A3QJKATIZJ9NV2
40,true,,12,75,7.0,2020-12-07 23:21:53,2020-12-07 23:22:19,,A3QJKATIZJ9NV2
41,true,,13,74,24.0,2020-12-07 23:21:53,2020-12-07 23:22:27,,A3QJKATIZJ9NV2
42,true,,14,74,30.0,2020-12-07 23:21:53,2020-12-07 23:22:39,,A3QJKATIZJ9NV2
43,true,,15,78,2.0,2020-12-07 23:21:53,2020-12-07 23:23:38,,A3QJKATIZJ9NV2
44,true,,16,85,1.0,2020-12-07 23:21:53,2020-12-07 23:23:49,,A3QJKATIZJ9NV2
45,true,,17,76,13.0,2020-12-07 23:24:01,2020-12-07 23:24:11,,A3QJKATIZJ9NV2
46,true,,18,65,5.0,2020-12-07 23:24:01,2020-12-07 23:24:24,,A3QJKATIZJ9NV2
47,true,,19,63,17.0,2020-12-07 23:24:01,2020-12-07 23:24:33,,A3QJKATIZJ9NV2
48,true,,20,75,28.0,2020-12-07 23:24:01,2020-12-07 23:24:41,,A3QJKATIZJ9NV2
49,true,,21,70,19.0,2020-12-07 23:24:01,2020-12-07 23:24:49,,A3QJKATIZJ9NV2
50,true,,4,99,25.0,2020-12-07 23:01:41,2020-12-07 23:34:26,,A2W3Q8OCO18HEN
51,true,,5,99,6.0,2020-12-07 23:01:41,2020-12-07 23:34:48,,A2W3Q8OCO18HEN
52,true,,6,52,21.0,2020-12-07 23:01:41,2020-12-07 23:35:09,,A2W3Q8OCO18HEN
53,true,,7,100,13.0,2020-12-07 23:35:16,2020-12-07 23:35:34,,A2W3Q8OCO18HEN
54,true,,8,99,17.0,2020-12-07 23:35:16,2020-12-07 23:35:51,,A2W3Q8OCO18HEN
55,true,,9,97,23.0,2020-12-07 23:35:16,2020-12-07 23:36:34,,A2W3Q8OCO18HEN
56,true,,10,98,8.0,2020-12-07 23:35:16,2020-12-07 23:36:55,,A2W3Q8OCO18HEN
57,true,,11,98,16.0,2020-12-07 23:37:00,2020-12-07 23:37:23,,A2W3Q8OCO18HEN
58,true,,12,98,14.0,2020-12-07 23:37:00,2020-12-07 23:37:42,,A2W3Q8OCO18HEN
59,true,,13,98,2.0,2020-12-07 23:37:00,2020-12-07 23:38:10,,A2W3Q8OCO18HEN
60,true,,14,99,27.0,2020-12-07 23:37:00,2020-12-07 23:38:31,,A2W3Q8OCO18HEN
61,true,,15,98,1.0,2020-12-07 23:37:00,2020-12-07 23:38:54,,A2W3Q8OCO18HEN
62,true,,16,98,5.0,2020-12-07 23:37:00,2020-12-07 23:39:05,,A2W3Q8OCO18HEN
63,true,,17,98,30.0,2020-12-07 23:39:10,2020-12-07 23:39:28,,A2W3Q8OCO18HEN
64,false,,18,10,3.0,2020-12-07 23:39:10,2020-12-07 23:39:46,,A2W3Q8OCO18HEN
65,true,,19,96,28.0,2020-12-07 23:39:10,2020-12-07 23:39:58,,A2W3Q8OCO18HEN
66,true,,20,98,10.0,2020-12-07 23:39:10,2020-12-07 23:40:15,,A2W3Q8OCO18HEN
67,true,,21,100,22.0,2020-12-07 23:39:10,2020-12-07 23:40:31,,A2W3Q8OCO18HEN
68,false,,22,14,20.0,2020-12-07 23:40:37,2020-12-07 23:41:21,,A2W3Q8OCO18HEN
69,true,,23,98,26.0,2020-12-07 23:40:37,2020-12-07 23:41:43,,A2W3Q8OCO18HEN
70,true,,24,65,24.0,2020-12-07 23:40:37,2020-12-07 23:42:06,,A2W3Q8OCO18HEN
71,true,,25,48,29.0,2020-12-07 23:40:37,2020-12-07 23:42:34,,A2W3Q8OCO18HEN
72,true,,26,93,11.0,2020-12-07 23:40:37,2020-12-07 23:42:58,,A2W3Q8OCO18HEN
73,true,,27,98,19.0,2020-12-07 23:40:37,2020-12-07 23:43:15,,A2W3Q8OCO18HEN
74,true,,28,98,31.0,2020-12-07 23:43:33,2020-12-07 23:43:57,,A2W3Q8OCO18HEN
75,true,,29,99,15.0,2020-12-07 23:43:33,2020-12-07 23:44:18,,A2W3Q8OCO18HEN
76,true,,30,98,7.0,2020-12-07 23:43:33,2020-12-07 23:44:37,,A2W3Q8OCO18HEN
77,false,,0,15,23.0,2020-12-08 00:15:58,2020-12-08 00:16:51,,A8UJNIY9R8S7W
78,true,,1,71,31.0,2020-12-08 00:15:58,2020-12-08 00:17:28,,A8UJNIY9R8S7W
79,true,,2,98,12.0,2020-12-08 00:17:40,2020-12-08 00:17:58,,A8UJNIY9R8S7W
80,true,,3,99,16.0,2020-12-08 00:17:40,2020-12-08 00:18:27,,A8UJNIY9R8S7W
81,false,,4,57,25.0,2020-12-08 00:17:40,2020-12-08 00:18:56,,A8UJNIY9R8S7W
82,false,,5,14,21.0,2020-12-08 00:17:40,2020-12-08 00:19:21,,A8UJNIY9R8S7W
