,correct,scenario,type,uid
0,0.0,13.0,crime,sethtest
1,1.0,18.0,crime,A2W3Q8OCO18HEN
2,1.0,21.0,crime,A2W3Q8OCO18HEN
3,1.0,8.0,crime,A2W3Q8OCO18HEN
4,1.0,5.0,crime,A2W3Q8OCO18HEN
5,1.0,22.0,crime,A2W3Q8OCO18HEN
6,1.0,19.0,crime,A2W3Q8OCO18HEN
7,0.0,9.0,crime,A3CAHROA74QYIE
8,0.0,16.0,crime,A3CAHROA74QYIE
9,0.0,5.0,crime,A3CAHROA74QYIE
10,0.0,24.0,crime,A1LLS4RSDRN8JS
11,0.0,14.0,crime,A1LLS4RSDRN8JS
12,0.0,27.0,crime,A1LLS4RSDRN8JS
13,1.0,6.0,crime,A3QJKATIZJ9NV2
14,0.0,21.0,crime,A3QJKATIZJ9NV2
15,0.0,22.0,crime,A3QJKATIZJ9NV2
16,1.0,1.0,crime,A3QJKATIZJ9NV2
17,0.0,19.0,crime,A3QJKATIZJ9NV2
18,1.0,31.0,crime,A8UJNIY9R8S7W
19,1.0,18.0,crime,A8UJNIY9R8S7W
20,1.0,14.0,crime,A8UJNIY9R8S7W
21,1.0,3.0,crime,A8UJNIY9R8S7W
22,1.0,1.0,crime,A8UJNIY9R8S7W
23,1.0,17.0,crime,A8UJNIY9R8S7W
24,1.0,3.0,crime,A3VZ5K4RRT6NN8
25,1.0,17.0,crime,A3VZ5K4RRT6NN8
26,1.0,14.0,crime,A3VZ5K4RRT6NN8
27,1.0,29.0,crime,A3VZ5K4RRT6NN8
28,1.0,11.0,crime,A3VZ5K4RRT6NN8
29,1.0,28.0,crime,A3VZ5K4RRT6NN8
30,0.0,20.0,crime,A2XP1TT59KNAHG
31,1.0,28.0,crime,A2XP1TT59KNAHG
32,0.0,15.0,crime,A2XP1TT59KNAHG
33,0.0,1.0,crime,A2XP1TT59KNAHG
34,0.0,5.0,crime,A19IYNU02HE2Z2
35,0.0,8.0,crime,A19IYNU02HE2Z2
36,1.0,7.0,crime,A19IYNU02HE2Z2
37,1.0,6.0,crime,A26M997VYVK0E6
38,1.0,5.0,crime,A26M997VYVK0E6
39,1.0,20.0,crime,A26M997VYVK0E6
40,1.0,2.0,crime,A26M997VYVK0E6
41,1.0,7.0,crime,A26M997VYVK0E6
42,1.0,3.0,crime,A26M997VYVK0E6
43,0.0,4.0,crime,AD5XOLO965T04
44,0.0,9.0,crime,AD5XOLO965T04
45,0.0,1.0,crime,AD5XOLO965T04
46,1.0,13.0,crime,AD65XH6H5ES2Z
47,0.0,21.0,crime,AD65XH6H5ES2Z
48,0.0,9.0,crime,A3PJ4WKS6GY5LH
49,1.0,1.0,crime,A3PJ4WKS6GY5LH
50,0.0,26.0,crime,A3W03WEOEDEF0L
51,1.0,31.0,crime,A3W03WEOEDEF0L
52,0.0,14.0,crime,A3W03WEOEDEF0L
53,0.0,4.0,crime,A3W03WEOEDEF0L
54,1.0,28.0,crime,AY0ONNUWEGXH5
55,1.0,31.0,crime,AY0ONNUWEGXH5
56,1.0,20.0,crime,AY0ONNUWEGXH5
57,1.0,3.0,crime,AY0ONNUWEGXH5
58,1.0,7.0,crime,AY0ONNUWEGXH5
59,1.0,4.0,crime,AY0ONNUWEGXH5
60,1.0,16.0,crime,A3EC13QK58RKRN
61,0.0,31.0,crime,A3EC13QK58RKRN
62,1.0,9.0,crime,A1T0S48O0CMXBC
63,1.0,27.0,crime,A1T0S48O0CMXBC
64,1.0,23.0,crime,A1T0S48O0CMXBC
65,1.0,10.0,crime,A1T0S48O0CMXBC
66,1.0,16.0,crime,A1T0S48O0CMXBC
67,1.0,19.0,crime,A1T0S48O0CMXBC
68,0.0,27.0,crime,AT63SR7LJVM8P
69,1.0,7.0,crime,AT63SR7LJVM8P
70,1.0,8.0,crime,AT63SR7LJVM8P
71,1.0,16.0,crime,AT63SR7LJVM8P
72,1.0,18.0,crime,AT63SR7LJVM8P
