,bardguilt,question,rating,scenario,start,stop,uid
0,true,0,0.0,20,2021-02-18 23:32:12,2021-02-18 23:32:15,sethtest
1,false,1,0.0,4,2021-02-18 23:32:15,2021-02-18 23:32:17,sethtest
2,true,2,0.0,25,2021-02-18 23:32:20,2021-02-18 23:32:21,sethtest
3,true,3,0.0,7,2021-02-18 23:32:22,2021-02-18 23:32:30,sethtest
4,false,0,0.0,22,2021-02-18 23:37:48,2021-02-18 23:37:50,blargtest
5,false,0,6.0,19,2021-02-19 01:35:33,2021-02-19 01:35:49,test2
6,false,1,22.0,20,2021-02-19 01:35:49,2021-02-19 01:36:25,test2
7,true,0,39.0,25,2021-02-19 05:10:31,2021-02-19 05:10:45,test3
8,true,1,57.0,27,2021-02-19 05:10:46,2021-02-19 05:10:58,test3
9,true,0,0.0,1,2021-02-19 05:12:10,2021-02-19 05:12:21,test4
10,true,1,0.0,25,2021-02-19 05:12:21,2021-02-19 05:12:27,test4
11,false,0,31.0,26,2021-02-19 12:52:24,2021-02-19 12:52:30,dafkjghiuq3wtest
12,true,0,61.0,13,2021-02-19 18:40:22,2021-02-19 18:40:34,A2R7PDGVB16KGY
13,false,1,41.0,6,2021-02-19 18:40:35,2021-02-19 18:40:45,A2R7PDGVB16KGY
14,false,2,49.0,28,2021-02-19 18:40:55,2021-02-19 18:45:06,A2R7PDGVB16KGY
15,true,3,68.0,12,2021-02-19 18:45:06,2021-02-19 18:45:16,A2R7PDGVB16KGY
16,true,4,61.0,30,2021-02-19 18:45:17,2021-02-19 18:45:46,A2R7PDGVB16KGY
17,false,5,51.0,21,2021-02-19 18:45:47,2021-02-19 18:45:57,A2R7PDGVB16KGY
18,false,6,34.0,10,2021-02-19 18:45:58,2021-02-19 18:46:16,A2R7PDGVB16KGY
19,false,7,49.0,11,2021-02-19 18:46:32,2021-02-19 18:46:45,A2R7PDGVB16KGY
20,false,8,74.0,3,2021-02-19 18:46:46,2021-02-19 18:47:19,A2R7PDGVB16KGY
21,false,9,75.0,17,2021-02-19 18:47:20,2021-02-19 18:47:38,A2R7PDGVB16KGY
22,false,10,67.0,15,2021-02-19 19:24:15,2021-02-19 19:24:22,A2R7PDGVB16KGY
23,false,11,82.0,23,2021-02-19 19:24:28,2021-02-19 19:24:38,A2R7PDGVB16KGY
24,true,12,13.0,20,2021-02-19 19:24:39,2021-02-19 19:24:45,A2R7PDGVB16KGY
25,true,13,69.0,25,2021-02-19 19:24:46,2021-02-19 19:24:53,A2R7PDGVB16KGY
26,true,14,62.0,22,2021-02-19 19:24:54,2021-02-19 19:25:02,A2R7PDGVB16KGY
27,false,15,74.0,29,2021-02-19 19:25:03,2021-02-19 19:25:13,A2R7PDGVB16KGY
28,false,16,70.0,16,2021-02-19 19:25:14,2021-02-19 19:25:20,A2R7PDGVB16KGY
29,false,0,100.0,6,2021-02-19 20:02:23,2021-02-19 20:03:09,A1BLNCSZ7GAL4T
30,false,1,100.0,22,2021-02-19 20:03:10,2021-02-19 20:04:20,A1BLNCSZ7GAL4T
31,true,2,0.0,28,2021-02-19 20:04:45,2021-02-19 20:05:27,A1BLNCSZ7GAL4T
32,true,3,31.0,8,2021-02-19 20:05:29,2021-02-19 20:06:18,A1BLNCSZ7GAL4T
33,true,4,100.0,17,2021-02-19 20:06:21,2021-02-19 20:07:02,A1BLNCSZ7GAL4T
34,false,5,0.0,5,2021-02-19 20:07:03,2021-02-19 20:07:34,A1BLNCSZ7GAL4T
35,false,6,100.0,25,2021-02-19 20:07:35,2021-02-19 20:08:06,A1BLNCSZ7GAL4T
36,true,7,100.0,30,2021-02-19 20:09:19,2021-02-19 20:09:50,A1BLNCSZ7GAL4T
37,false,8,0.0,2,2021-02-19 20:09:52,2021-02-19 20:10:18,A1BLNCSZ7GAL4T
38,true,9,100.0,24,2021-02-19 20:10:21,2021-02-19 20:10:42,A1BLNCSZ7GAL4T
39,true,10,100.0,7,2021-02-19 20:10:44,2021-02-19 20:11:15,A1BLNCSZ7GAL4T
40,true,0,0.0,30,2021-02-19 20:11:51,2021-02-19 20:11:57,A1GGHWXWUUF4WC
41,true,1,0.0,9,2021-02-19 20:11:58,2021-02-19 20:12:04,A1GGHWXWUUF4WC
42,false,11,0.0,3,2021-02-19 20:12:08,2021-02-19 20:12:34,A1BLNCSZ7GAL4T
43,false,12,0.0,14,2021-02-19 20:12:35,2021-02-19 20:13:04,A1BLNCSZ7GAL4T
44,false,13,0.0,26,2021-02-19 20:13:05,2021-02-19 20:13:28,A1BLNCSZ7GAL4T
45,false,14,0.0,20,2021-02-19 20:13:29,2021-02-19 20:14:05,A1BLNCSZ7GAL4T
46,true,15,100.0,13,2021-02-19 20:14:06,2021-02-19 20:14:35,A1BLNCSZ7GAL4T
47,true,16,100.0,19,2021-02-19 20:14:37,2021-02-19 20:15:21,A1BLNCSZ7GAL4T
48,true,17,100.0,23,2021-02-19 20:15:53,2021-02-19 20:16:43,A1BLNCSZ7GAL4T
49,true,18,99.0,10,2021-02-19 20:16:46,2021-02-19 20:17:05,A1BLNCSZ7GAL4T
50,true,19,100.0,29,2021-02-19 20:17:07,2021-02-19 20:17:23,A1BLNCSZ7GAL4T
51,false,20,0.0,21,2021-02-19 20:17:24,2021-02-19 20:17:47,A1BLNCSZ7GAL4T
52,false,21,47.0,18,2021-02-19 20:17:48,2021-02-19 20:18:10,A1BLNCSZ7GAL4T
53,true,22,100.0,31,2021-02-19 20:18:48,2021-02-19 20:19:15,A1BLNCSZ7GAL4T
54,false,23,11.0,11,2021-02-19 20:19:18,2021-02-19 20:19:43,A1BLNCSZ7GAL4T
55,true,24,100.0,27,2021-02-19 20:19:45,2021-02-19 20:20:23,A1BLNCSZ7GAL4T
56,false,25,24.0,1,2021-02-19 20:20:25,2021-02-19 20:20:47,A1BLNCSZ7GAL4T
57,false,26,0.0,12,2021-02-19 20:20:49,2021-02-19 20:21:22,A1BLNCSZ7GAL4T
58,false,27,0.0,16,2021-02-19 20:21:24,2021-02-19 20:21:50,A1BLNCSZ7GAL4T
59,false,28,11.0,9,2021-02-19 20:25:03,2021-02-19 20:25:26,A1BLNCSZ7GAL4T
60,true,29,57.0,15,2021-02-19 20:25:28,2021-02-19 20:25:56,A1BLNCSZ7GAL4T
61,true,30,100.0,4,2021-02-19 20:26:00,2021-02-19 20:26:20,A1BLNCSZ7GAL4T
62,true,0,0.0,16,2021-02-19 20:41:26,2021-02-19 20:42:15,A1WSY9375NN2V3
63,false,1,0.0,22,2021-02-19 20:42:16,2021-02-19 20:42:36,A1WSY9375NN2V3
64,false,2,0.0,15,2021-02-19 20:43:04,2021-02-19 20:43:33,A1WSY9375NN2V3
65,true,3,0.0,25,2021-02-19 20:43:34,2021-02-19 20:43:55,A1WSY9375NN2V3
66,true,4,0.0,18,2021-02-19 20:43:56,2021-02-19 20:44:12,A1WSY9375NN2V3
67,true,5,0.0,27,2021-02-19 20:44:13,2021-02-19 20:44:31,A1WSY9375NN2V3
68,true,6,0.0,9,2021-02-19 20:44:32,2021-02-19 20:44:45,A1WSY9375NN2V3
69,true,7,0.0,21,2021-02-19 20:45:11,2021-02-19 20:45:34,A1WSY9375NN2V3
70,false,8,0.0,10,2021-02-19 20:48:13,2021-02-19 20:48:29,A1WSY9375NN2V3
71,false,9,0.0,8,2021-02-19 20:48:30,2021-02-19 20:48:45,A1WSY9375NN2V3
72,false,10,0.0,19,2021-02-19 20:48:46,2021-02-19 20:48:57,A1WSY9375NN2V3
73,false,11,0.0,2,2021-02-19 20:49:28,2021-02-19 20:49:54,A1WSY9375NN2V3
74,false,12,0.0,5,2021-02-19 20:49:55,2021-02-19 20:50:06,A1WSY9375NN2V3
75,false,13,0.0,3,2021-02-19 20:50:07,2021-02-19 20:50:17,A1WSY9375NN2V3
76,true,14,0.0,23,2021-02-19 20:50:18,2021-02-19 20:50:29,A1WSY9375NN2V3
77,true,15,0.0,7,2021-02-19 20:50:30,2021-02-19 20:50:44,A1WSY9375NN2V3
