,correct,scenario,type,uid
0,0.0,4.0,crime,sethtest
1,1.0,20.0,crime,test2
2,1.0,27.0,crime,test3
3,1.0,25.0,crime,test4
4,0.0,6.0,crime,A2R7PDGVB16KGY
5,0.0,10.0,crime,A2R7PDGVB16KGY
6,1.0,15.0,crime,A2R7PDGVB16KGY
7,0.0,16.0,crime,A2R7PDGVB16KGY
8,1.0,22.0,crime,A1BLNCSZ7GAL4T
9,1.0,25.0,crime,A1BLNCSZ7GAL4T
10,1.0,7.0,crime,A1BLNCSZ7GAL4T
11,1.0,19.0,crime,A1BLNCSZ7GAL4T
12,1.0,18.0,crime,A1BLNCSZ7GAL4T
13,1.0,16.0,crime,A1BLNCSZ7GAL4T
14,1.0,22.0,crime,A1WSY9375NN2V3
15,1.0,9.0,crime,A1WSY9375NN2V3
16,1.0,19.0,crime,A1WSY9375NN2V3
17,1.0,6.0,crime,A1WSY9375NN2V3
18,1.0,14.0,crime,A1WSY9375NN2V3
19,1.0,29.0,crime,A1WSY9375NN2V3
20,0.0,22.0,crime,A2S4M32VW9AP5G
21,1.0,10.0,crime,A2S4M32VW9AP5G
22,1.0,18.0,crime,A2S4M32VW9AP5G
23,1.0,20.0,crime,A2S4M32VW9AP5G
24,1.0,16.0,crime,A2S4M32VW9AP5G
25,1.0,17.0,crime,A2S4M32VW9AP5G
26,1.0,12.0,crime,AQY8URN1JQDC2
27,1.0,21.0,crime,AQY8URN1JQDC2
28,0.0,16.0,crime,AQY8URN1JQDC2
29,1.0,11.0,crime,AQY8URN1JQDC2
30,0.0,7.0,crime,AQY8URN1JQDC2
31,1.0,27.0,crime,AQY8URN1JQDC2
32,1.0,22.0,crime,A1NF1XZTCVRG1V
33,1.0,26.0,crime,A1NF1XZTCVRG1V
34,1.0,15.0,crime,A1NF1XZTCVRG1V
35,1.0,24.0,crime,A1NF1XZTCVRG1V
36,1.0,1.0,crime,A1NF1XZTCVRG1V
37,1.0,28.0,crime,A1NF1XZTCVRG1V
38,1.0,4.0,crime,A15KMHNB9VMHXK
39,0.0,26.0,crime,A15KMHNB9VMHXK
40,1.0,16.0,crime,A15KMHNB9VMHXK
41,0.0,23.0,crime,A15KMHNB9VMHXK
42,0.0,6.0,crime,A15KMHNB9VMHXK
43,1.0,31.0,crime,A1U8RH67FLZW87
44,1.0,11.0,crime,A1U8RH67FLZW87
45,1.0,17.0,crime,A1U8RH67FLZW87
46,1.0,23.0,crime,A1U8RH67FLZW87
47,1.0,18.0,crime,A1U8RH67FLZW87
48,1.0,9.0,crime,A1U8RH67FLZW87
49,0.0,1.0,crime,A1AIYZPEGFYMQ4
50,1.0,9.0,crime,A2CY1TSQ3KKP5Q
51,1.0,14.0,crime,A2CY1TSQ3KKP5Q
52,1.0,18.0,crime,A2CY1TSQ3KKP5Q
53,1.0,25.0,crime,A2CY1TSQ3KKP5Q
54,1.0,10.0,crime,A2CY1TSQ3KKP5Q
55,1.0,26.0,crime,A2CY1TSQ3KKP5Q
56,1.0,7.0,crime,A13FTIHWW9GE8X
57,1.0,4.0,crime,A13FTIHWW9GE8X
58,1.0,26.0,crime,A13FTIHWW9GE8X
59,1.0,12.0,crime,A13FTIHWW9GE8X
60,1.0,3.0,crime,A13FTIHWW9GE8X
61,1.0,27.0,crime,A13FTIHWW9GE8X
62,0.0,25.0,crime,A1WT9J6TTJDLKN
63,0.0,8.0,crime,A1WT9J6TTJDLKN
64,1.0,22.0,crime,A1WT9J6TTJDLKN
65,1.0,19.0,crime,A1WT9J6TTJDLKN
66,1.0,11.0,crime,A1WT9J6TTJDLKN
67,0.0,2.0,crime,A1WT9J6TTJDLKN
68,1.0,30.0,crime,A2D12AABIAHV55
69,0.0,19.0,crime,A2D12AABIAHV55
70,0.0,15.0,crime,A2D12AABIAHV55
71,0.0,31.0,crime,A2D12AABIAHV55
72,1.0,23.0,crime,A2YOLW621EFX4V
73,0.0,16.0,crime,A2YOLW621EFX4V
74,0.0,9.0,crime,A2YOLW621EFX4V
75,0.0,15.0,crime,A2YOLW621EFX4V
76,0.0,16.0,crime,A21HUS2EI1MLUC
77,1.0,13.0,crime,A17ZTBC2843EBM
78,1.0,4.0,crime,A17ZTBC2843EBM
79,1.0,31.0,crime,A17ZTBC2843EBM
80,1.0,14.0,crime,A17ZTBC2843EBM
81,1.0,11.0,crime,A17ZTBC2843EBM
82,1.0,3.0,crime,A17ZTBC2843EBM
83,1.0,31.0,crime,A23H5PTASRYHHB
84,1.0,22.0,crime,A23H5PTASRYHHB
85,1.0,4.0,crime,A23H5PTASRYHHB
86,1.0,25.0,crime,A23H5PTASRYHHB
87,1.0,2.0,crime,A23H5PTASRYHHB
88,1.0,19.0,crime,A23H5PTASRYHHB
89,0.0,14.0,crime,A10E77ALJR6R1R
90,0.0,2.0,crime,AHKWR3I5VHBWS
91,0.0,22.0,crime,AHKWR3I5VHBWS
92,0.0,5.0,crime,A1N0RSPRK548N2
93,0.0,16.0,crime,A1N0RSPRK548N2
94,0.0,18.0,crime,A1N0RSPRK548N2
95,1.0,6.0,crime,A2AVQZWSZH3NS1
96,0.0,30.0,crime,A2AVQZWSZH3NS1
97,0.0,7.0,crime,A2AVQZWSZH3NS1
98,0.0,20.0,crime,A2AVQZWSZH3NS1
99,0.0,6.0,crime,AQXZUVF2QWLYS
100,0.0,29.0,crime,AQXZUVF2QWLYS
101,0.0,23.0,crime,A3MIDLO5S7FU06
102,1.0,27.0,crime,A3MIDLO5S7FU06
103,1.0,24.0,crime,A3MIDLO5S7FU06
104,1.0,22.0,crime,A3MIDLO5S7FU06
105,1.0,11.0,crime,A3MIDLO5S7FU06
106,1.0,26.0,crime,A3MIDLO5S7FU06
107,0.0,7.0,crime,A1K75OHCIM3RNB
108,0.0,12.0,crime,A1K75OHCIM3RNB
109,0.0,26.0,crime,A3THO9TNFICLD1
110,1.0,24.0,crime,A3THO9TNFICLD1
111,1.0,22.0,crime,A3THO9TNFICLD1
112,1.0,17.0,crime,A3THO9TNFICLD1
113,0.0,28.0,crime,AVFMTS8A5R4XK
114,1.0,24.0,crime,AVFMTS8A5R4XK
115,1.0,30.0,crime,AVFMTS8A5R4XK
116,1.0,7.0,crime,AVFMTS8A5R4XK
117,1.0,16.0,crime,AVFMTS8A5R4XK
118,1.0,27.0,crime,AVFMTS8A5R4XK
119,0.0,8.0,crime,A2KDLLDJQ5YB4L
120,0.0,3.0,crime,A2KDLLDJQ5YB4L
121,0.0,17.0,crime,A3OT9EHUD1UORR
122,0.0,11.0,crime,A3OT9EHUD1UORR
123,0.0,18.0,crime,A3OT9EHUD1UORR
124,1.0,16.0,crime,A26X8BQELDQSGH
125,1.0,22.0,crime,A26X8BQELDQSGH
126,1.0,14.0,crime,A26X8BQELDQSGH
127,1.0,26.0,crime,A26X8BQELDQSGH
128,1.0,27.0,crime,A26X8BQELDQSGH
129,1.0,30.0,crime,A26X8BQELDQSGH
130,1.0,1.0,crime,A1ZGIRYMWB9GO5
131,1.0,30.0,crime,A1ZGIRYMWB9GO5
132,1.0,21.0,crime,A1ZGIRYMWB9GO5
133,1.0,4.0,crime,A1ZGIRYMWB9GO5
134,1.0,14.0,crime,A1ZGIRYMWB9GO5
135,1.0,7.0,crime,A1ZGIRYMWB9GO5
136,1.0,18.0,crime,ACD400BAWY7QC
137,1.0,31.0,crime,ACD400BAWY7QC
138,1.0,1.0,crime,ACD400BAWY7QC
139,1.0,4.0,crime,ACD400BAWY7QC
140,1.0,7.0,crime,ACD400BAWY7QC
141,1.0,29.0,crime,ACD400BAWY7QC
142,0.0,7.0,crime,A2C0VTQOFYUP83
143,0.0,14.0,crime,A2C0VTQOFYUP83
144,1.0,13.0,crime,A1HUIJ5U9UW86A
145,0.0,5.0,crime,A1HUIJ5U9UW86A
146,1.0,27.0,crime,A1HUIJ5U9UW86A
147,0.0,28.0,crime,A1HUIJ5U9UW86A
148,0.0,12.0,crime,A1HUIJ5U9UW86A
149,1.0,28.0,crime,AGRKG3YT3KMD8
150,1.0,19.0,crime,AGRKG3YT3KMD8
151,1.0,18.0,crime,AGRKG3YT3KMD8
152,1.0,8.0,crime,AGRKG3YT3KMD8
153,1.0,26.0,crime,AGRKG3YT3KMD8
154,1.0,3.0,crime,AGRKG3YT3KMD8
155,0.0,8.0,crime,A3P57IUDHUKNCE
156,0.0,30.0,crime,A3P57IUDHUKNCE
157,1.0,29.0,crime,A3P57IUDHUKNCE
158,0.0,3.0,crime,A3P57IUDHUKNCE
159,0.0,31.0,crime,A20J03BN0PWDQY
160,0.0,23.0,crime,A20J03BN0PWDQY
161,0.0,25.0,crime,A20J03BN0PWDQY
162,0.0,3.0,crime,A1M5O9I9OHA7Y1
163,1.0,15.0,crime,A1M5O9I9OHA7Y1
164,1.0,2.0,crime,A3P7Y9YBJ875WK
165,1.0,24.0,crime,A3P7Y9YBJ875WK
166,1.0,22.0,crime,A3P7Y9YBJ875WK
167,1.0,14.0,crime,A3P7Y9YBJ875WK
168,1.0,16.0,crime,A3P7Y9YBJ875WK
169,1.0,28.0,crime,A3P7Y9YBJ875WK
170,1.0,20.0,crime,A1G187YBG0DVMQ
171,1.0,19.0,crime,A1G187YBG0DVMQ
172,1.0,12.0,crime,A1G187YBG0DVMQ
173,1.0,24.0,crime,ARPBDM5QZ4XQC
174,1.0,13.0,crime,ARPBDM5QZ4XQC
175,1.0,3.0,crime,ARPBDM5QZ4XQC
176,1.0,10.0,crime,ARPBDM5QZ4XQC
177,1.0,17.0,crime,ARPBDM5QZ4XQC
178,1.0,23.0,crime,ARPBDM5QZ4XQC
179,1.0,25.0,crime,AANOKVDS2XRY%20
180,1.0,3.0,crime,AANOKVDS2XRY%20
181,1.0,18.0,crime,AANOKVDS2XRY%20
182,1.0,14.0,crime,AANOKVDS2XRY%20
183,1.0,8.0,crime,AANOKVDS2XRY%20
184,1.0,15.0,crime,AANOKVDS2XRY%20
185,1.0,12.0,crime,AAL5LUI5U3NAV
186,1.0,13.0,crime,AAL5LUI5U3NAV
187,1.0,22.0,crime,AAL5LUI5U3NAV
188,1.0,6.0,crime,AAL5LUI5U3NAV
