,uid,scenario,physical,document,witness,character
0,sethtest,20,clear_ex,none,clear_ex,clear_ex
1,sethtest,4,clear_ex,none,none,clear_in
2,sethtest,25,clear_ex,clear_in,none,clear_in
3,sethtest,7,none,clear_ex,clear_ex,clear_in
4,sethtest,6,ambiguous,clear_in,ambiguous,clear_in
5,sethtest,18,clear_ex,clear_ex,ambiguous,none
6,sethtest,11,none,none,none,clear_ex
7,sethtest,16,ambiguous,none,clear_in,clear_in
8,sethtest,29,clear_in,none,clear_in,clear_ex
9,sethtest,22,none,none,clear_in,none
10,sethtest,2,none,clear_ex,none,clear_in
11,sethtest,8,clear_in,clear_ex,clear_ex,clear_ex
12,sethtest,10,clear_in,ambiguous,clear_ex,none
13,sethtest,30,none,clear_ex,clear_in,none
14,sethtest,23,clear_in,clear_ex,clear_in,clear_ex
15,sethtest,5,clear_in,clear_in,clear_in,none
16,sethtest,1,none,clear_in,clear_in,none
17,sethtest,12,ambiguous,clear_ex,clear_in,none
18,sethtest,13,ambiguous,ambiguous,clear_in,clear_in
19,sethtest,14,clear_ex,ambiguous,clear_ex,none
20,sethtest,24,ambiguous,clear_in,ambiguous,none
21,sethtest,17,none,none,ambiguous,none
22,sethtest,27,clear_ex,clear_in,clear_ex,none
23,sethtest,19,clear_ex,clear_ex,clear_ex,clear_in
24,sethtest,28,clear_ex,clear_ex,none,none
25,sethtest,26,none,ambiguous,ambiguous,none
26,sethtest,3,ambiguous,none,none,clear_in
27,sethtest,21,none,clear_ex,clear_ex,clear_ex
28,sethtest,31,clear_in,ambiguous,ambiguous,clear_ex
29,sethtest,15,clear_ex,ambiguous,none,clear_in
30,sethtest,9,ambiguous,clear_ex,clear_in,clear_ex
31,blargtest,22,none,clear_in,clear_in,clear_in
32,blargtest,25,clear_in,clear_in,none,clear_in
33,blargtest,21,clear_in,none,none,clear_in
34,blargtest,11,none,none,clear_in,none
35,blargtest,19,clear_in,none,clear_in,none
36,blargtest,14,none,clear_in,clear_in,none
37,blargtest,17,none,none,clear_in,clear_in
38,blargtest,12,none,clear_in,none,none
39,blargtest,15,clear_in,clear_in,clear_in,none
40,blargtest,9,clear_in,clear_in,clear_in,clear_in
41,blargtest,10,clear_in,none,clear_in,clear_in
42,blargtest,20,none,clear_in,none,clear_in
43,blargtest,30,clear_in,clear_in,none,none
44,blargtest,28,clear_in,none,none,none
45,blargtest,1,none,clear_in,none,clear_in
46,blargtest,24,clear_in,clear_in,clear_in,none
47,blargtest,2,clear_in,clear_in,none,clear_in
48,blargtest,16,none,clear_in,clear_in,clear_in
49,blargtest,7,clear_in,clear_in,none,none
50,blargtest,26,clear_in,clear_in,clear_in,clear_in
51,blargtest,3,clear_in,none,none,none
52,blargtest,18,clear_in,none,none,clear_in
53,blargtest,5,clear_in,none,clear_in,none
54,blargtest,31,none,none,clear_in,clear_in
55,blargtest,4,none,none,clear_in,none
56,blargtest,23,clear_in,none,clear_in,clear_in
57,blargtest,6,none,clear_in,clear_in,none
58,blargtest,8,none,clear_in,none,none
59,blargtest,13,clear_in,clear_in,clear_in,none
60,blargtest,29,none,clear_in,none,clear_in
61,blargtest,27,none,clear_in,none,none
62,test2,19,none,ambiguous,ambiguous,none
63,test2,20,clear_ex,clear_in,clear_ex,clear_in
64,test2,3,none,clear_in,none,clear_ex
65,test2,1,ambiguous,clear_ex,clear_ex,clear_in
66,test2,14,clear_in,clear_in,clear_ex,clear_in
67,test2,5,clear_ex,none,clear_in,none
68,test2,13,clear_ex,clear_in,none,clear_ex
69,test2,21,none,ambiguous,ambiguous,clear_ex
70,test2,27,ambiguous,clear_in,ambiguous,clear_in
71,test2,23,clear_ex,ambiguous,clear_in,none
72,test2,15,clear_ex,clear_ex,none,clear_ex
73,test2,4,clear_ex,clear_in,none,clear_in
74,test2,12,clear_ex,clear_in,ambiguous,none
75,test2,9,clear_ex,none,ambiguous,clear_ex
76,test2,29,clear_in,none,none,none
77,test2,24,none,clear_in,clear_ex,none
78,test2,28,none,none,clear_in,clear_in
79,test2,10,clear_ex,clear_ex,ambiguous,none
80,test2,8,clear_ex,none,clear_in,clear_ex
81,test2,16,clear_ex,ambiguous,none,none
82,test2,26,clear_in,clear_in,clear_in,clear_in
83,test2,6,clear_ex,clear_in,clear_in,none
84,test2,2,clear_ex,none,none,clear_ex
85,test2,25,ambiguous,clear_in,clear_in,clear_ex
86,test2,17,ambiguous,none,ambiguous,clear_in
87,test2,31,clear_in,none,none,clear_ex
88,test2,22,clear_ex,none,clear_ex,none
89,test2,18,ambiguous,clear_ex,none,none
90,test2,30,clear_in,ambiguous,ambiguous,clear_in
91,test2,11,none,clear_ex,clear_ex,clear_in
92,test2,7,clear_in,clear_in,ambiguous,none
93,test3,25,clear_in,none,none,none
94,test3,27,clear_in,none,none,clear_in
95,test3,23,none,clear_in,clear_in,none
96,test3,31,clear_in,none,clear_in,none
97,test3,7,clear_in,clear_in,none,none
98,test3,1,clear_in,clear_in,clear_in,none
99,test3,13,none,clear_in,clear_in,clear_in
100,test3,16,none,none,clear_in,none
101,test3,6,clear_in,clear_in,clear_in,clear_in
102,test3,10,clear_in,clear_in,none,clear_in
103,test3,20,none,clear_in,none,clear_in
104,test3,4,none,none,clear_in,clear_in
105,test3,30,clear_in,none,clear_in,clear_in
106,test3,21,none,clear_in,none,none
107,test3,8,clear_in,clear_in,clear_in,none
108,test3,3,clear_in,none,clear_in,none
109,test3,26,clear_in,none,none,clear_in
110,test3,11,clear_in,clear_in,none,none
111,test3,2,clear_in,clear_in,none,clear_in
112,test3,14,none,clear_in,clear_in,clear_in
113,test3,9,none,clear_in,none,clear_in
114,test3,12,clear_in,clear_in,clear_in,clear_in
115,test3,19,none,clear_in,none,none
116,test3,24,none,clear_in,clear_in,none
117,test3,28,clear_in,none,clear_in,clear_in
118,test3,15,none,none,clear_in,clear_in
119,test3,18,none,none,clear_in,none
120,test3,5,clear_in,none,none,none
121,test3,22,clear_in,none,clear_in,none
122,test3,17,none,none,clear_in,none
123,test3,29,clear_in,none,clear_in,clear_in
124,test4,1,clear_in,none,none,clear_in
125,test4,25,clear_in,none,clear_in,none
126,test4,18,none,none,clear_in,clear_in
127,test4,7,clear_in,clear_in,clear_in,clear_in
128,test4,27,none,clear_in,clear_in,clear_in
129,test4,28,clear_in,clear_in,none,none
130,test4,11,none,clear_in,none,clear_in
131,test4,6,clear_in,clear_in,clear_in,none
132,test4,31,clear_in,none,none,none
133,test4,24,clear_in,none,clear_in,clear_in
134,test4,23,clear_in,clear_in,none,clear_in
135,test4,20,none,clear_in,none,none
136,test4,12,none,clear_in,clear_in,none
137,test4,19,none,none,clear_in,none
138,test4,5,clear_in,clear_in,none,clear_in
139,test4,17,clear_in,clear_in,clear_in,none
140,test4,26,none,clear_in,none,clear_in
141,test4,16,clear_in,clear_in,none,none
142,test4,10,clear_in,none,clear_in,clear_in
143,test4,29,clear_in,clear_in,clear_in,clear_in
144,test4,22,none,clear_in,clear_in,none
145,test4,8,none,clear_in,none,none
146,test4,21,none,clear_in,clear_in,clear_in
147,test4,30,clear_in,none,clear_in,none
